date,SGLY_Open,SGLY_High,SGLY_Low,SGLY_Close,SGLY_Volume,SGLY_Dividends,SGLY_Stock Splits
2009-09-24 00:00:00+00:00,180.0,194.0,180.0,181.0,86,,
2009-09-25 00:00:00+00:00,181.5,192.0,180.0,187.5,386,,
2009-09-28 00:00:00+00:00,192.5,203.0,190.0,197.0,240,,
2009-09-29 00:00:00+00:00,189.0,189.0,180.0,180.0,178,,
2009-09-30 00:00:00+00:00,180.0,185.5,176.0,185.5,78,,
2009-10-01 00:00:00+00:00,186.5,186.5,172.5,172.5,102,,
2009-10-02 00:00:00+00:00,175.0,176.0,156.0,162.5,178,,
2009-10-05 00:00:00+00:00,162.0,170.0,161.5,165.0,244,,
2009-10-06 00:00:00+00:00,170.0,193.5,165.5,172.5,90,,
2009-10-07 00:00:00+00:00,186.5,192.5,167.5,176.5,134,,
2009-10-08 00:00:00+00:00,177.0,177.5,170.5,170.5,118,,
2009-10-09 00:00:00+00:00,169.5,171.5,169.5,171.5,14,,
2009-10-12 00:00:00+00:00,172.5,179.0,172.5,173.0,118,,
2009-10-13 00:00:00+00:00,170.5,172.5,170.5,170.5,60,,
2009-10-14 00:00:00+00:00,170.5,172.0,170.5,170.5,78,,
2009-10-15 00:00:00+00:00,169.5,170.0,169.5,169.5,24,,
2009-10-16 00:00:00+00:00,157.0,162.5,157.0,162.5,104,,
2009-10-19 00:00:00+00:00,169.0,173.0,168.5,173.0,100,,
2009-10-20 00:00:00+00:00,173.0,173.5,173.0,173.5,20,,
2009-10-21 00:00:00+00:00,173.5,173.5,173.5,173.5,0,,
2009-10-22 00:00:00+00:00,157.5,192.5,157.5,167.5,208,,
2009-10-23 00:00:00+00:00,167.5,187.0,167.5,185.5,116,,
2009-10-26 00:00:00+00:00,185.5,185.5,185.5,185.5,0,,
2009-10-27 00:00:00+00:00,167.5,168.5,161.0,161.5,52,,
2009-10-28 00:00:00+00:00,161.5,164.0,161.5,164.0,8,,
